	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
theta_c_pr[3,19]	0.2881	0.002754	0.5286	0.5135	-0.8278	0.3137	1.254	38130.0	28570.0	2.046	1.0
theta_c_pr[3,20]	-0.1096	0.003112	0.6116	0.5859	-1.459	-0.05741	0.9471	42250.0	26930.0	2.267	1.0
theta_c_pr[3,21]	-0.2777	0.00322	0.6077	0.5915	-1.603	-0.2341	0.7826	38590.0	25030.0	2.071	1.0
theta_c_pr[3,22]	0.9786	0.00264	0.4495	0.4386	0.04515	0.9959	1.816	29280.0	26220.0	1.571	1.0
theta_c_pr[3,23]	-0.6764	0.003778	0.8535	0.8489	-2.395	-0.6644	0.9767	51320.0	29200.0	2.754	1.0
theta_c_pr[3,24]	0.2237	0.002507	0.4269	0.4159	-0.6728	0.243	1.003	29540.0	28010.0	1.585	1.0
theta_c_pr[3,25]	1.12	0.002749	0.4789	0.4595	0.1024	1.147	1.998	31610.0	25030.0	1.696	1.0
theta_c_pr[3,26]	-1.026	0.003164	0.6484	0.6372	-2.433	-0.9776	0.1061	45190.0	27550.0	2.425	1.0
theta_c_pr[3,27]	0.3601	0.002161	0.3338	0.3217	-0.3533	0.3816	0.9594	24690.0	23990.0	1.325	1.0
theta_c_pr[3,28]	-0.23	0.00296	0.5326	0.5274	-1.352	-0.2023	0.7308	33490.0	27810.0	1.797	1.0
theta_c_pr[3,29]	0.2846	0.002882	0.5187	0.5036	-0.8304	0.3173	1.2	34050.0	26300.0	1.827	1.0
theta_c_pr[3,30]	0.3916	0.002394	0.41	0.4021	-0.4611	0.4075	1.152	29850.0	26310.0	1.602	1.0
theta_c_pr[3,31]	-1.46	0.002952	0.5909	0.5787	-2.726	-1.421	-0.4058	42180.0	26620.0	2.264	1.0
theta_c_pr[3,32]	0.02241	0.003228	0.6145	0.5935	-1.311	0.06634	1.113	38820.0	25580.0	2.083	1.0
theta_c_pr[3,33]	0.5317	0.002112	0.3302	0.3178	-0.1529	0.546	1.143	25180.0	24390.0	1.351	1.0
theta_c_pr[3,34]	-1.493	0.003345	0.6836	0.6828	-2.905	-1.465	-0.2312	42320.0	30220.0	2.271	1.0
theta_c_pr[3,35]	1.297	0.002941	0.4784	0.4684	0.3307	1.307	2.217	26640.0	27390.0	1.429	1.0
theta_c_pr[3,36]	1.457	0.003028	0.5012	0.4844	0.3957	1.483	2.366	27920.0	27330.0	1.498	1.0
theta_c_pr[3,37]	1.512	0.002144	0.3252	0.3182	0.8657	1.514	2.144	23020.0	27780.0	1.235	1.0
theta_c_pr[3,38]	0.02079	0.003275	0.6162	0.5941	-1.342	0.07504	1.078	38140.0	26180.0	2.047	1.0
theta_c_pr[3,39]	-0.8422	0.002918	0.574	0.5585	-2.089	-0.7993	0.1614	41220.0	26900.0	2.212	1.0
theta_c_pr[3,40]	0.5811	0.002232	0.3881	0.3668	-0.2573	0.6061	1.276	31780.0	24660.0	1.705	1.0
theta_c_pr[3,41]	-0.776	0.003242	0.7085	0.7041	-2.256	-0.7417	0.508	49060.0	29430.0	2.632	1.0
