	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
a_conf[1,53]	0.347	0.0004831	0.08615	0.0857	0.1949	0.3414	0.5318	31060.0	28810.0	1.628	1.0
a_conf[1,54]	0.1851	0.0005101	0.08854	0.08176	0.0556	0.1705	0.3963	29460.0	26200.0	1.544	1.0
a_conf[1,55]	0.3703	0.0004367	0.08432	0.08349	0.2127	0.3672	0.5438	36450.0	27570.0	1.91	1.0
a_conf[1,56]	0.1015	0.0001787	0.03913	0.03716	0.03925	0.0968	0.1911	48750.0	29340.0	2.554	1.0
a_conf[1,57]	0.4889	0.0004207	0.09621	0.09752	0.3083	0.4859	0.6839	52590.0	31010.0	2.756	1.0
a_conf[1,58]	0.4961	0.000479	0.101	0.1031	0.3042	0.4945	0.6968	44340.0	31580.0	2.323	1.0
a_conf[1,59]	0.2631	0.0004773	0.08663	0.08402	0.119	0.2542	0.4588	32960.0	28680.0	1.727	1.0
a_conf[1,60]	0.3776	0.0005089	0.09149	0.09221	0.2193	0.3708	0.5722	31340.0	27590.0	1.642	1.0
a_conf[1,61]	0.3484	0.000495	0.08985	0.09007	0.198	0.3399	0.5463	33190.0	30870.0	1.739	1.0
a_conf[1,62]	0.2703	0.0004944	0.07903	0.07873	0.1383	0.2627	0.4442	24270.0	26560.0	1.271	1.0
a_conf[1,63]	0.3316	0.0005092	0.0859	0.08465	0.1831	0.3251	0.5192	28110.0	29110.0	1.473	1.0
a_conf[1,64]	0.338	0.0004026	0.08428	0.08377	0.1864	0.3337	0.5158	42810.0	27410.0	2.243	1.0
a_conf[1,65]	0.1489	0.0006619	0.1044	0.08603	0.02342	0.1224	0.4205	22870.0	27580.0	1.198	1.0
a_conf[1,66]	0.2821	0.0006369	0.09883	0.09886	0.1143	0.273	0.4973	22720.0	20610.0	1.19	1.0
a_conf[1,67]	0.533	0.0005631	0.1125	0.1154	0.3196	0.5311	0.7544	39760.0	30440.0	2.083	1.0
