participant_ID,age,missed_rt_2,missed_rt_2_gt_5,missed_rt_2_gt_10,missed_rt_2_gt_20,short_rt_2,short_rt_2_gt_5,short_rt_2_gt_10,short_rt_2_gt_20
174,23,0,0,0,0,0,0,0,0
338,10,7,1,0,0,79,1,1,1
4661,23,0,0,0,0,0,0,0,0
5465,10,0,0,0,0,0,0,0,0
6592,19,0,0,0,0,1,0,0,0
429,16,56,1,1,1,2,0,0,0
28,14,0,0,0,0,17,1,1,0
5855,12,0,0,0,0,68,1,1,1
3527,10,28,1,1,1,63,1,1,1
5893,21,0,0,0,0,0,0,0,0
4533,23,0,0,0,0,2,0,0,0
102,10,4,0,0,0,12,1,1,0
293,20,1,0,0,0,9,1,0,0
312,10,0,0,0,0,1,0,0,0
3790,16,0,0,0,0,0,0,0,0
187,15,13,1,1,0,2,0,0,0
1847,10,0,0,0,0,23,1,1,1
2291,11,0,0,0,0,0,0,0,0
804,22,0,0,0,0,3,0,0,0
3428,23,0,0,0,0,0,0,0,0
626,14,0,0,0,0,1,0,0,0
3991,22,0,0,0,0,115,1,1,1
388,20,0,0,0,0,10,1,0,0
487,24,0,0,0,0,0,0,0,0
7625,23,0,0,0,0,36,1,1,1
3330,25,0,0,0,0,0,0,0,0
5314,21,1,0,0,0,1,0,0,0
1624,14,15,1,1,0,83,1,1,1
302,13,1,0,0,0,0,0,0,0
7671,13,0,0,0,0,97,1,1,1
4947,13,7,1,0,0,11,1,1,0
210,11,0,0,0,0,3,0,0,0
228,14,1,0,0,0,0,0,0,0
3456,14,0,0,0,0,2,0,0,0
4200,14,0,0,0,0,5,0,0,0
240,13,2,0,0,0,48,1,1,1
6416,17,0,0,0,0,1,0,0,0
531,15,4,0,0,0,0,0,0,0
7612,12,17,1,1,0,2,0,0,0
1456,14,2,0,0,0,51,1,1,1
33,11,0,0,0,0,13,1,1,0
4004,17,77,1,1,1,3,0,0,0
5985,16,0,0,0,0,1,0,0,0
3413,12,7,1,0,0,10,1,0,0
592,11,8,1,0,0,5,0,0,0
236,10,1,0,0,0,13,1,1,0
7547,13,2,0,0,0,7,1,0,0
6072,12,7,1,0,0,50,1,1,1
266,16,0,0,0,0,42,1,1,1
1981,13,1,0,0,0,1,0,0,0
218,11,2,0,0,0,9,1,0,0
5963,11,22,1,1,1,11,1,1,0
3632,21,1,0,0,0,2,0,0,0
1982,10,11,1,1,0,62,1,1,1
1843,14,0,0,0,0,99,1,1,1
587,15,0,0,0,0,0,0,0,0
3054,25,0,0,0,0,0,0,0,0
1045,16,2,0,0,0,0,0,0,0
267,20,0,0,0,0,4,0,0,0
75,17,0,0,0,0,0,0,0,0
5910,11,2,0,0,0,0,0,0,0
3165,15,0,0,0,0,5,0,0,0
105,12,0,0,0,0,0,0,0,0
5332,14,0,0,0,0,17,1,1,0
63,10,3,0,0,0,17,1,1,0
4173,13,0,0,0,0,1,0,0,0
5286,12,13,1,1,0,72,1,1,1
504,18,1,0,0,0,6,1,0,0
5055,21,1,0,0,0,12,1,1,0
2430,18,0,0,0,0,4,0,0,0
3535,21,1,0,0,0,1,0,0,0
3386,22,1,0,0,0,29,1,1,1
4459,19,0,0,0,0,5,0,0,0
1597,15,0,0,0,0,0,0,0,0
3943,11,1,0,0,0,1,0,0,0
6199,21,0,0,0,0,3,0,0,0
5419,12,1,0,0,0,40,1,1,1
3372,22,0,0,0,0,0,0,0,0
390,14,4,0,0,0,13,1,1,0
3785,13,2,0,0,0,0,0,0,0
4666,25,7,1,0,0,5,0,0,0
709,22,1,0,0,0,1,0,0,0
3252,13,0,0,0,0,0,0,0,0
4924,16,0,0,0,0,2,0,0,0
4439,11,5,0,0,0,3,0,0,0
115,15,1,0,0,0,4,0,0,0
3206,18,0,0,0,0,0,0,0,0
3193,13,0,0,0,0,0,0,0,0
7927,12,0,0,0,0,28,1,1,1
3367,25,0,0,0,0,0,0,0,0
452,18,0,0,0,0,3,0,0,0
5302,14,2,0,0,0,1,0,0,0
2040,21,0,0,0,0,3,0,0,0
483,18,0,0,0,0,0,0,0,0
6,20,1,0,0,0,42,1,1,1
6505,14,0,0,0,0,0,0,0,0
4486,18,0,0,0,0,0,0,0,0
120,18,1,0,0,0,1,0,0,0
1,19,0,0,0,0,33,1,1,1
360,18,0,0,0,0,0,0,0,0
478,18,1,0,0,0,1,0,0,0
198,18,0,0,0,0,0,0,0,0
217,18,0,0,0,0,1,0,0,0
4934,11,3,0,0,0,16,1,1,0
303,10,0,0,0,0,0,0,0,0
206,14,0,0,0,0,4,0,0,0
5031,18,10,1,0,0,16,1,1,0
2761,19,0,0,0,0,1,0,0,0
410,10,1,0,0,0,48,1,1,1
694,13,1,0,0,0,38,1,1,1
288,10,0,0,0,0,0,0,0,0
4294,18,0,0,0,0,0,0,0,0
3830,24,7,1,0,0,3,0,0,0
140,24,3,0,0,0,0,0,0,0
200,22,0,0,0,0,1,0,0,0
44,24,0,0,0,0,7,1,0,0
35,24,0,0,0,0,2,0,0,0
5152,11,0,0,0,0,3,0,0,0
5525,18,1,0,0,0,0,0,0,0
4997,18,1,0,0,0,6,1,0,0
551,15,0,0,0,0,0,0,0,0
41,17,0,0,0,0,1,0,0,0
3547,25,0,0,0,0,0,0,0,0
2068,24,0,0,0,0,16,1,1,0
4868,21,1,0,0,0,13,1,1,0
381,20,2,0,0,0,0,0,0,0
5231,22,0,0,0,0,0,0,0,0
758,18,0,0,0,0,0,0,0,0
6380,24,0,0,0,0,0,0,0,0
6125,22,0,0,0,0,11,1,1,0
3978,19,0,0,0,0,0,0,0,0
