ID,num_trials,num_stage1_RT_lt150ms,per_stage1_RT_lt150ms,num_stage1_RT_gt2000ms,per_stage1_RT_gt2000ms,num_stage2_RT_lt150ms,per_stage2_RT_lt150ms,num_stage2_RT_gt2000ms,per_stage2_RT_gt2000ms,num_stage1_RT_sloworfast,per_stage1_RT_sloworfast,num_stage2_RT_sloworfast,per_stage2_RT_sloworfast,num_stay_rew_comm,per_stay_rew_common,num_stay_rew_rare,per_stay_rew_rare,num_stay_unrew_comm,per_stay_unrew_common,num_stay_unrew_rare,per_stay_unrew_rare,prob_worse_random_corr,num_trials_common_rew_V1,num_trials_rare_rew_V1,num_trials_common_unrew_V1,num_trials_rare_unrew_V1,exclude_crit1,exclude_crit2,exclude_crit3,exclude_crit4
5855,187,67,0.358288770053476,1,0.0053475935828877,66,0.352941176470588,0,0,68,0.363636363636364,66,0.352941176470588,75,1,21,1,52,1,39,1,1,75,21,52,39,1,1,0,1
2040,190,22,0.115789473684211,0,0,3,0.0157894736842105,0,0,22,0.115789473684211,3,0.0157894736842105,62,0.898550724637681,24,0.827586206896552,29,0.408450704225352,16,0.761904761904762,0.999999999999776,69,29,71,21,0,0,0,0
2068,189,18,0.0952380952380952,3,0.0158730158730159,16,0.0846560846560847,2,0.0105820105820106,21,0.111111111111111,18,0.0952380952380952,45,0.849056603773585,34,0.894736842105263,47,0.652777777777778,18,0.692307692307692,0.999999979984019,53,38,72,26,0,0,0,0
3268,161,10,0.062111801242236,6,0.0372670807453416,2,0.0124223602484472,21,0.130434782608696,16,0.0993788819875776,23,0.142857142857143,47,1,29,1,60,1,25,1,1,47,29,60,25,0,0,0,0
3527,141,55,0.390070921985816,5,0.0354609929078014,58,0.411347517730496,10,0.0709219858156028,60,0.425531914893617,68,0.482269503546099,43,1,25,1,48,1,25,1,1,43,25,48,25,1,1,0,1
1416,190,21,0.110526315789474,0,0,12,0.0631578947368421,1,0.00526315789473684,21,0.110526315789474,13,0.068421052631579,61,0.772151898734177,17,0.708333333333333,36,0.620689655172414,19,0.655172413793103,0.999999820582056,79,24,58,29,0,0,0,0
3798,190,73,0.384210526315789,0,0,55,0.289473684210526,1,0.00526315789473684,73,0.384210526315789,56,0.294736842105263,63,0.954545454545455,31,1,66,0.956521739130435,21,0.875,1,66,31,69,24,1,1,0,1
338,176,70,0.397727272727273,2,0.0113636363636364,76,0.431818181818182,1,0.00568181818181818,72,0.409090909090909,77,0.4375,66,1,33,1,59,1,18,1,1,66,33,59,18,1,1,0,1
1571,190,15,0.0789473684210526,0,0,0,0,0,0,15,0.0789473684210526,0,0,76,0.926829268292683,21,0.954545454545455,46,0.938775510204082,31,0.837837837837838,1,82,22,49,37,0,0,0,0
5464,190,1,0.00526315789473684,1,0.00526315789473684,0,0,0,0,2,0.0105263157894737,0,0,47,0.618421052631579,16,0.695652173913043,34,0.53968253968254,14,0.5,0.985686672245631,76,23,63,28,0,0,0,0
406,190,0,0,1,0.00526315789473684,0,0,1,0.00526315789473684,1,0.00526315789473684,1,0.00526315789473684,47,0.635135135135135,20,0.526315789473684,28,0.549019607843137,17,0.62962962962963,0.992960009285235,74,38,51,27,0,0,0,0
5496,186,25,0.134408602150538,0,0,2,0.010752688172043,0,0,25,0.134408602150538,2,0.010752688172043,68,1,28,1,68,1,22,1,1,68,28,68,22,0,0,0,0
461,185,98,0.52972972972973,0,0,46,0.248648648648649,0,0,98,0.52972972972973,46,0.248648648648649,72,1,31,1,60,1,22,1,1,72,31,60,22,1,1,0,1
132,190,69,0.363157894736842,0,0,37,0.194736842105263,0,0,69,0.363157894736842,37,0.194736842105263,54,0.931034482758621,28,0.823529411764706,56,0.756756756756757,19,0.791666666666667,0.999999999999887,58,34,74,24,1,1,0,1
578,190,1,0.00526315789473684,0,0,0,0,0,0,1,0.00526315789473684,0,0,69,0.971830985915493,29,0.90625,46,0.676470588235294,16,0.842105263157895,1,71,32,68,19,0,0,0,0
592,176,14,0.0795454545454545,0,0,5,0.0284090909090909,3,0.0170454545454545,14,0.0795454545454545,8,0.0454545454545455,54,1,34,1,64,1,24,1,1,54,34,64,24,0,0,0,0
4348,190,11,0.0578947368421053,0,0,0,0,2,0.0105263157894737,11,0.0578947368421053,2,0.0105263157894737,56,0.8,29,0.828571428571429,41,0.706896551724138,21,0.777777777777778,0.999999948550293,70,35,58,27,0,0,0,0
5525,188,1,0.00531914893617021,0,0,0,0,1,0.00531914893617021,1,0.00531914893617021,1,0.00531914893617021,76,1,27,1,63,1,22,1,1,76,27,63,22,0,0,0,0
2599,190,13,0.068421052631579,0,0,0,0,1,0.00526315789473684,13,0.068421052631579,1,0.00526315789473684,71,0.972602739726027,10,0.344827586206897,26,0.433333333333333,25,0.892857142857143,1,73,29,60,28,0,0,0,0
5732,190,1,0.00526315789473684,0,0,0,0,0,0,1,0.00526315789473684,0,0,86,1,31,1,38,0.808510638297872,26,1,1,86,31,47,26,0,0,0,0
302,188,1,0.00531914893617021,3,0.0159574468085106,0,0,4,0.0212765957446809,4,0.0212765957446809,4,0.0212765957446809,67,1,35,1,64,1,22,1,1,67,35,64,22,0,0,0,0
3978,190,8,0.0421052631578947,0,0,0,0,0,0,8,0.0421052631578947,0,0,56,0.888888888888889,30,0.833333333333333,34,0.53125,18,0.666666666666667,0.999999999991802,63,36,64,27,0,0,0,0
2613,167,40,0.239520958083832,10,0.0598802395209581,42,0.251497005988024,6,0.0359281437125748,50,0.29940119760479,48,0.287425149700599,52,1,29,1,66,1,20,1,1,52,29,66,20,1,1,0,1
5322,184,40,0.217391304347826,0,0,12,0.0652173913043478,1,0.00543478260869565,40,0.217391304347826,13,0.0706521739130435,61,1,34,1,54,1,35,1,1,61,34,54,35,1,0,0,0
217,189,11,0.0582010582010582,0,0,1,0.00529100529100529,2,0.0105820105820106,11,0.0582010582010582,3,0.0158730158730159,76,0.938271604938272,22,0.785714285714286,34,0.666666666666667,29,1,1,81,28,51,29,0,0,0,0
4172,178,8,0.0449438202247191,4,0.0224719101123595,3,0.0168539325842697,3,0.0168539325842697,12,0.0674157303370786,6,0.0337078651685393,61,1,43,1,53,1,21,1,1,61,43,53,21,0,0,0,0
5247,186,81,0.435483870967742,0,0,47,0.252688172043011,1,0.00537634408602151,81,0.435483870967742,48,0.258064516129032,65,1,26,1,57,1,38,1,1,65,26,57,38,1,1,0,1
41,189,43,0.227513227513228,0,0,1,0.00529100529100529,0,0,43,0.227513227513228,1,0.00529100529100529,69,1,38,1,60,1,22,1,1,69,38,60,22,1,0,0,0
5820,190,1,0.00526315789473684,0,0,0,0,0,0,1,0.00526315789473684,0,0,72,1,26,0.838709677419355,46,0.793103448275862,29,1,1,72,31,58,29,0,0,0,0
78,176,46,0.261363636363636,0,0,17,0.0965909090909091,0,0,46,0.261363636363636,17,0.0965909090909091,72,1,23,1,51,1,30,1,1,72,23,51,30,1,0,0,0
452,190,29,0.152631578947368,1,0.00526315789473684,3,0.0157894736842105,1,0.00526315789473684,30,0.157894736842105,4,0.0210526315789474,56,0.949152542372881,24,0.774193548387097,51,0.68,17,0.68,0.999999999999997,59,31,75,25,0,0,0,0
2559,189,35,0.185185185185185,0,0,21,0.111111111111111,0,0,35,0.185185185185185,21,0.111111111111111,87,1,23,1,50,1,29,1,1,87,23,50,29,0,0,0,0
5139,190,10,0.0526315789473684,0,0,1,0.00526315789473684,0,0,10,0.0526315789473684,1,0.00526315789473684,55,0.705128205128205,26,0.928571428571429,45,0.803571428571429,21,0.75,0.999925259230638,78,28,56,28,0,0,0,0
45,188,22,0.117021276595745,0,0,2,0.0106382978723404,0,0,22,0.117021276595745,2,0.0106382978723404,59,0.967213114754098,27,0.964285714285714,31,0.5,17,0.459459459459459,1,61,28,62,37,0,0,0,0
159,189,65,0.343915343915344,1,0.00529100529100529,66,0.349206349206349,0,0,66,0.349206349206349,66,0.349206349206349,74,0.986666666666667,25,0.961538461538462,54,0.9,27,0.964285714285714,1,75,26,60,28,1,1,0,1
4439,178,5,0.0280898876404494,3,0.0168539325842697,2,0.0112359550561798,4,0.0224719101123595,8,0.0449438202247191,6,0.0337078651685393,65,1,27,1,62,1,24,1,1,65,27,62,24,0,0,0,0
5231,189,5,0.0264550264550265,0,0,0,0,1,0.00529100529100529,5,0.0264550264550265,1,0.00529100529100529,60,0.789473684210526,23,0.676470588235294,48,0.905660377358491,19,0.730769230769231,0.999999950785763,76,34,53,26,0,0,0,0
6215,190,0,0,0,0,0,0,0,0,0,0,0,0,30,0.491803278688525,19,0.542857142857143,42,0.6,12,0.5,0.5,61,35,70,24,0,0,0,0
4204,189,2,0.0105820105820106,1,0.00529100529100529,1,0.00529100529100529,0,0,3,0.0158730158730159,1,0.00529100529100529,61,1,28,1,74,1,26,1,1,61,28,74,26,0,0,0,0
3457,190,1,0.00526315789473684,0,0,0,0,1,0.00526315789473684,1,0.00526315789473684,1,0.00526315789473684,74,0.973684210526316,22,0.814814814814815,36,0.679245283018868,32,0.941176470588235,1,76,27,53,34,0,0,0,0
381,187,4,0.0213903743315508,2,0.0106951871657754,0,0,2,0.0106951871657754,6,0.0320855614973262,2,0.0106951871657754,70,1,28,1,60,1,29,1,1,70,28,60,29,0,0,0,0
6125,188,42,0.223404255319149,5,0.0265957446808511,10,0.0531914893617021,1,0.00531914893617021,47,0.25,11,0.0585106382978723,84,1,25,1,56,1,23,1,1,84,25,56,23,1,0,0,0
115,189,16,0.0846560846560847,2,0.0105820105820106,4,0.0211640211640212,2,0.0105820105820106,18,0.0952380952380952,6,0.0317460317460317,69,0.971830985915493,29,0.966666666666667,56,0.835820895522388,20,0.952380952380952,1,71,30,67,21,0,0,0,0
4533,190,27,0.142105263157895,0,0,2,0.0105263157894737,0,0,27,0.142105263157895,2,0.0105263157894737,72,0.986301369863014,30,0.967741935483871,48,0.813559322033898,27,1,1,73,31,59,27,0,0,0,0
5963,154,9,0.0584415584415584,8,0.051948051948052,7,0.0454545454545455,7,0.0454545454545455,17,0.11038961038961,14,0.0909090909090909,59,1,25,1,47,1,23,1,1,59,25,47,23,0,0,0,0
17,188,22,0.117021276595745,1,0.00531914893617021,2,0.0106382978723404,0,0,23,0.122340425531915,2,0.0106382978723404,80,1,18,1,61,1,29,1,1,80,18,61,29,0,0,0,0
3880,189,16,0.0846560846560847,0,0,1,0.00529100529100529,0,0,16,0.0846560846560847,1,0.00529100529100529,53,1,33,1,68,1,35,1,1,53,33,68,35,0,0,0,0
360,187,4,0.0213903743315508,0,0,0,0,2,0.0106951871657754,4,0.0213903743315508,2,0.0106951871657754,74,1,21,1,61,1,31,1,1,74,21,61,31,0,0,0,0
3991,189,128,0.677248677248677,0,0,114,0.603174603174603,0,0,128,0.677248677248677,114,0.603174603174603,78,1,22,1,55,1,34,1,1,78,22,55,34,1,1,0,1
3547,189,5,0.0264550264550265,0,0,0,0,2,0.0105820105820106,5,0.0264550264550265,2,0.0105820105820106,67,1,18,1,70,1,34,1,1,67,18,70,34,0,0,0,0
3252,189,22,0.116402116402116,1,0.00529100529100529,0,0,11,0.0582010582010582,23,0.121693121693122,11,0.0582010582010582,67,1,23,1,66,1,33,1,1,67,23,66,33,0,0,0,0
5152,190,27,0.142105263157895,3,0.0157894736842105,3,0.0157894736842105,1,0.00526315789473684,30,0.157894736842105,4,0.0210526315789474,65,0.866666666666667,30,0.810810810810811,31,0.563636363636364,16,0.695652173913043,0.999999999996171,75,37,55,23,0,0,0,0
3830,180,16,0.0888888888888889,2,0.0111111111111111,3,0.0166666666666667,10,0.0555555555555556,18,0.1,13,0.0722222222222222,78,1,21,1,59,1,22,1,1,78,21,59,22,0,0,0,0
5998,189,22,0.116402116402116,2,0.0105820105820106,4,0.0211640211640212,0,0,24,0.126984126984127,4,0.0211640211640212,74,1,22,1,65,1,28,1,1,74,22,65,28,0,0,0,0
152,184,13,0.0706521739130435,5,0.0271739130434783,10,0.0543478260869565,3,0.016304347826087,18,0.0978260869565217,13,0.0706521739130435,76,1,27,1,47,1,34,1,1,76,27,47,34,0,0,0,0
2402,190,3,0.0157894736842105,0,0,0,0,0,0,3,0.0157894736842105,0,0,65,0.984848484848485,18,0.6,39,0.619047619047619,27,0.870967741935484,1,66,30,63,31,0,0,0,0
