parameter,parameter_name,session,subject_id,age,param_value,age_group
b1,Reward Sensitivity,1,1981,13.0,4.399,10-15
b1,Reward Sensitivity,1,218,11.0,16.42,10-15
b1,Reward Sensitivity,1,5963,11.0,3.953,10-15
b1,Reward Sensitivity,1,3632,21.0,18.27,20-25
b1,Reward Sensitivity,1,1843,14.0,17.07,10-15
b1,Reward Sensitivity,1,587,15.0,24.02,10-15
b1,Reward Sensitivity,1,3054,25.0,26.7,20-25
b1,Reward Sensitivity,1,75,17.0,17.07,15-20
b1,Reward Sensitivity,1,105,12.0,3.68,10-15
b1,Reward Sensitivity,1,5332,14.0,18.61,10-15
b1,Reward Sensitivity,1,63,10.0,11.21,10-15
b1,Reward Sensitivity,1,4173,13.0,10.26,10-15
b1,Reward Sensitivity,1,5286,12.0,3.721,10-15
b1,Reward Sensitivity,1,504,18.0,16.18,15-20
b1,Reward Sensitivity,1,5055,21.0,7.309,20-25
b1,Reward Sensitivity,1,2430,18.0,14.38,15-20
b1,Reward Sensitivity,1,3535,21.0,11.54,20-25
b1,Reward Sensitivity,1,3386,22.0,7.554,20-25
b1,Reward Sensitivity,1,4459,19.0,18.53,15-20
b1,Reward Sensitivity,1,5136,12.0,7.615,10-15
b1,Reward Sensitivity,1,390,14.0,16.59,10-15
b1,Reward Sensitivity,1,709,22.0,10.46,20-25
b1,Reward Sensitivity,1,506,15.0,5.597,10-15
b1,Reward Sensitivity,1,4924,16.0,10.54,15-20
b1,Reward Sensitivity,1,4439,11.0,11.45,10-15
b1,Reward Sensitivity,1,2915,15.0,17.37,10-15
b1,Reward Sensitivity,1,115,15.0,0.6241,10-15
b1,Reward Sensitivity,1,3206,18.0,0.9064,15-20
b1,Reward Sensitivity,1,3193,13.0,4.723,10-15
b1,Reward Sensitivity,1,452,18.0,12.91,15-20
b1,Reward Sensitivity,1,2040,21.0,13.0,20-25
b1,Reward Sensitivity,1,6,20.0,8.103,15-20
b1,Reward Sensitivity,1,4486,18.0,21.32,15-20
b1,Reward Sensitivity,1,1,19.0,5.059,15-20
b1,Reward Sensitivity,1,360,18.0,22.7,15-20
b1,Reward Sensitivity,1,478,18.0,10.77,15-20
b1,Reward Sensitivity,1,198,18.0,23.36,15-20
b1,Reward Sensitivity,1,217,18.0,11.29,15-20
b1,Reward Sensitivity,1,4934,11.0,12.65,10-15
b1,Reward Sensitivity,1,303,10.0,4.829,10-15
b1,Reward Sensitivity,1,2761,19.0,18.23,15-20
b1,Reward Sensitivity,1,410,10.0,6.149,10-15
b1,Reward Sensitivity,1,3349,22.0,13.77,20-25
b1,Reward Sensitivity,1,200,22.0,10.92,20-25
b1,Reward Sensitivity,1,44,24.0,16.56,20-25
b1,Reward Sensitivity,1,5152,11.0,7.797,10-15
b1,Reward Sensitivity,1,5525,18.0,4.924,15-20
b1,Reward Sensitivity,1,551,15.0,14.74,10-15
b1,Reward Sensitivity,1,41,17.0,21.81,15-20
b1,Reward Sensitivity,1,3547,25.0,14.75,20-25
b1,Reward Sensitivity,1,76,23.0,7.884,20-25
b1,Reward Sensitivity,1,2068,24.0,0.3408,20-25
b1,Reward Sensitivity,1,4868,21.0,-2.134,20-25
b1,Reward Sensitivity,1,381,20.0,13.52,15-20
b1,Reward Sensitivity,1,5231,22.0,5.793,20-25
b1,Reward Sensitivity,1,758,18.0,11.04,15-20
b1,Reward Sensitivity,1,6380,24.0,17.39,20-25
b1,Reward Sensitivity,1,6125,22.0,21.11,20-25
b1,Reward Sensitivity,1,3978,19.0,11.02,15-20
b1,Reward Sensitivity,1,209,14.0,10.99,10-15
b1,Reward Sensitivity,1,270,17.0,14.05,15-20
b1,Reward Sensitivity,1,5464,19.0,7.097,15-20
b1,Reward Sensitivity,1,5998,20.0,13.07,15-20
b1,Reward Sensitivity,1,2599,19.0,13.65,15-20
b1,Reward Sensitivity,1,304,21.0,5.211,20-25
b1,Reward Sensitivity,1,406,18.0,15.92,15-20
b1,Reward Sensitivity,1,4771,17.0,3.98,15-20
b1,Reward Sensitivity,1,3880,19.0,4.796,15-20
b1,Reward Sensitivity,1,595,24.0,14.69,20-25
b1,Reward Sensitivity,1,5139,22.0,16.98,20-25
b1,Reward Sensitivity,1,578,25.0,11.05,20-25
b1,Reward Sensitivity,1,6696,15.0,14.85,10-15
b1,Reward Sensitivity,1,5323,19.0,10.17,15-20
b1,Reward Sensitivity,1,373,10.0,0.3863,10-15
b1,Reward Sensitivity,1,152,10.0,7.631,10-15
b1,Reward Sensitivity,1,5534,12.0,6.156,10-15
b1,Reward Sensitivity,2,83,10.0,21.28,10-15
b1,Reward Sensitivity,2,159,16.0,3.247,15-20
b1,Reward Sensitivity,2,6138,15.0,13.4,10-15
b1,Reward Sensitivity,2,4172,10.0,8.313,10-15
b1,Reward Sensitivity,2,3798,16.0,6.161,15-20
b1,Reward Sensitivity,2,5278,12.0,10.43,10-15
b1,Reward Sensitivity,2,5820,24.0,19.02,20-25
b1,Reward Sensitivity,2,4348,11.0,19.62,10-15
b1,Reward Sensitivity,2,197,10.0,11.47,10-15
b1,Reward Sensitivity,2,3596,25.0,2.438,20-25
b1,Reward Sensitivity,2,1780,19.0,12.51,15-20
b1,Reward Sensitivity,2,583,20.0,17.46,15-20
b1,Reward Sensitivity,2,5673,10.0,8.346,10-15
b1,Reward Sensitivity,2,6215,22.0,4.838,20-25
b1,Reward Sensitivity,2,404,23.0,18.24,20-25
b1,Reward Sensitivity,2,7308,10.0,9.933,10-15
b1,Reward Sensitivity,2,2039,21.0,8.827,20-25
b1,Reward Sensitivity,2,2085,11.0,9.293,10-15
b1,Reward Sensitivity,2,5720,15.0,8.239,10-15
b1,Reward Sensitivity,2,7534,23.0,27.49,20-25
b1,Reward Sensitivity,2,321,16.0,4.155,15-20
b1,Reward Sensitivity,2,4824,20.0,0.01665,15-20
b1,Reward Sensitivity,2,4673,22.0,15.62,20-25
b1,Reward Sensitivity,2,5359,25.0,3.444,20-25
b1,Reward Sensitivity,2,3457,20.0,23.92,15-20
b1,Reward Sensitivity,2,2559,12.0,21.23,10-15
b1,Reward Sensitivity,2,223,26.0,21.9,20-25
b1,Reward Sensitivity,2,2791,22.0,6.749,20-25
b1,Reward Sensitivity,2,1571,23.0,7.543,20-25
b1,Reward Sensitivity,2,5496,10.0,7.684,10-15
b1,Reward Sensitivity,2,17,21.0,24.88,20-25
b1,Reward Sensitivity,2,6521,11.0,0.4415,10-15
b1,Reward Sensitivity,2,45,13.0,3.614,10-15
b1,Reward Sensitivity,2,78,12.0,6.554,10-15
b1,Reward Sensitivity,2,5247,17.0,5.279,15-20
b1,Reward Sensitivity,2,5732,14.0,20.46,10-15
b1,Reward Sensitivity,2,7314,14.0,3.853,10-15
b1,Reward Sensitivity,2,285,23.0,26.85,20-25
b1,Reward Sensitivity,2,2402,13.0,25.05,10-15
b1,Reward Sensitivity,2,4729,16.0,1.94,15-20
b1,Reward Sensitivity,2,4727,16.0,2.838,15-20
b1,Reward Sensitivity,2,138,23.0,10.17,20-25
b1,Reward Sensitivity,2,26,25.0,16.53,20-25
b1,Reward Sensitivity,2,3268,25.0,5.087,20-25
b1,Reward Sensitivity,2,4582,11.0,8.113,10-15
b1,Reward Sensitivity,2,461,15.0,8.85,10-15
b1,Reward Sensitivity,2,2715,15.0,10.28,10-15
b1,Reward Sensitivity,2,174,23.0,15.12,20-25
b1,Reward Sensitivity,2,4661,23.0,7.31,20-25
b1,Reward Sensitivity,2,429,16.0,5.3,15-20
b1,Reward Sensitivity,2,5855,12.0,5.64,10-15
b1,Reward Sensitivity,2,4314,21.0,2.453,20-25
b1,Reward Sensitivity,2,5893,21.0,10.01,20-25
b1,Reward Sensitivity,2,4533,23.0,13.24,20-25
b1,Reward Sensitivity,2,293,20.0,7.619,15-20
b1,Reward Sensitivity,2,6631,12.0,4.804,10-15
b1,Reward Sensitivity,2,3790,16.0,9.51,15-20
b1,Reward Sensitivity,2,5267,10.0,12.41,10-15
b1,Reward Sensitivity,2,626,14.0,3.289,10-15
b1,Reward Sensitivity,2,3991,22.0,7.889,20-25
b1,Reward Sensitivity,2,3534,26.0,5.669,20-25
b1,Reward Sensitivity,2,3330,25.0,15.1,20-25
b1,Reward Sensitivity,2,5314,21.0,5.603,20-25
b1,Reward Sensitivity,2,302,13.0,8.375,10-15
b1,Reward Sensitivity,2,4947,13.0,6.676,10-15
b1,Reward Sensitivity,2,210,11.0,18.62,10-15
b1,Reward Sensitivity,2,228,14.0,8.458,10-15
b1,Reward Sensitivity,2,3456,14.0,6.605,10-15
b1,Reward Sensitivity,2,4200,14.0,17.9,10-15
b1,Reward Sensitivity,2,240,13.0,8.474,10-15
b1,Reward Sensitivity,2,6416,17.0,18.17,15-20
b1,Reward Sensitivity,2,7612,12.0,3.005,10-15
b1,Reward Sensitivity,2,1456,14.0,3.306,10-15
b1,Reward Sensitivity,2,33,11.0,3.961,10-15
b1,Reward Sensitivity,2,4004,17.0,2.621,15-20
b1,Reward Sensitivity,2,592,11.0,4.102,10-15
b1,Reward Sensitivity,2,7547,13.0,2.754,10-15
b1,Reward Sensitivity,2,6072,12.0,9.59,10-15
b1,Reward Sensitivity,2,266,16.0,5.599,15-20
b1,Reward Sensitivity,2,1981,13.0,12.11,10-15
b1,Reward Sensitivity,2,218,11.0,11.9,10-15
b1,Reward Sensitivity,2,5963,11.0,8.935,10-15
b1,Reward Sensitivity,2,3632,21.0,18.83,20-25
b1,Reward Sensitivity,2,1843,14.0,18.14,10-15
b1,Reward Sensitivity,2,587,15.0,17.82,10-15
b1,Reward Sensitivity,2,3054,25.0,25.09,20-25
b1,Reward Sensitivity,2,75,17.0,18.89,15-20
b1,Reward Sensitivity,2,105,12.0,-0.7369,10-15
b1,Reward Sensitivity,2,5332,14.0,8.218,10-15
b1,Reward Sensitivity,2,63,10.0,13.86,10-15
b1,Reward Sensitivity,2,4173,13.0,3.892,10-15
b1,Reward Sensitivity,2,5286,12.0,-2.695,10-15
b1,Reward Sensitivity,2,504,18.0,16.09,15-20
b1,Reward Sensitivity,2,5055,21.0,13.03,20-25
b1,Reward Sensitivity,2,2430,18.0,13.43,15-20
b1,Reward Sensitivity,2,3535,21.0,12.8,20-25
b1,Reward Sensitivity,2,3386,22.0,10.47,20-25
b1,Reward Sensitivity,2,4459,19.0,21.53,15-20
b1,Reward Sensitivity,2,5136,12.0,5.483,10-15
b1,Reward Sensitivity,2,390,14.0,9.108,10-15
b1,Reward Sensitivity,2,709,22.0,11.29,20-25
b1,Reward Sensitivity,2,506,15.0,6.201,10-15
b1,Reward Sensitivity,2,4924,16.0,2.921,15-20
b1,Reward Sensitivity,2,4439,11.0,3.292,10-15
b1,Reward Sensitivity,2,2915,15.0,18.8,10-15
b1,Reward Sensitivity,2,115,15.0,0.0007299,10-15
b1,Reward Sensitivity,2,3206,18.0,-3.254,15-20
b1,Reward Sensitivity,2,3193,13.0,4.04,10-15
b1,Reward Sensitivity,2,452,18.0,14.12,15-20
b1,Reward Sensitivity,2,2040,21.0,12.54,20-25
b1,Reward Sensitivity,2,6,20.0,6.016,15-20
b1,Reward Sensitivity,2,4486,18.0,18.28,15-20
b1,Reward Sensitivity,2,1,19.0,9.549,15-20
b1,Reward Sensitivity,2,360,18.0,22.65,15-20
b1,Reward Sensitivity,2,478,18.0,7.973,15-20
b1,Reward Sensitivity,2,198,18.0,26.4,15-20
b1,Reward Sensitivity,2,217,18.0,13.27,15-20
b1,Reward Sensitivity,2,4934,11.0,9.575,10-15
b1,Reward Sensitivity,2,303,10.0,5.147,10-15
b1,Reward Sensitivity,2,2761,19.0,11.17,15-20
b1,Reward Sensitivity,2,410,10.0,5.246,10-15
b1,Reward Sensitivity,2,3349,22.0,8.932,20-25
b1,Reward Sensitivity,2,200,22.0,8.602,20-25
b1,Reward Sensitivity,2,44,24.0,16.61,20-25
b1,Reward Sensitivity,2,5152,11.0,5.952,10-15
b1,Reward Sensitivity,2,5525,18.0,8.551,15-20
b1,Reward Sensitivity,2,551,15.0,16.18,10-15
b1,Reward Sensitivity,2,41,17.0,19.17,15-20
b1,Reward Sensitivity,2,3547,25.0,19.15,20-25
b1,Reward Sensitivity,2,76,23.0,18.1,20-25
b1,Reward Sensitivity,2,2068,24.0,0.2052,20-25
b1,Reward Sensitivity,2,4868,21.0,0.9226,20-25
b1,Reward Sensitivity,2,381,20.0,19.61,15-20
b1,Reward Sensitivity,2,5231,22.0,7.249,20-25
b1,Reward Sensitivity,2,758,18.0,21.11,15-20
b1,Reward Sensitivity,2,6380,24.0,14.45,20-25
b1,Reward Sensitivity,2,6125,22.0,23.35,20-25
b1,Reward Sensitivity,2,3978,19.0,14.74,15-20
b1,Reward Sensitivity,2,209,14.0,16.02,10-15
b1,Reward Sensitivity,2,270,17.0,12.82,15-20
b1,Reward Sensitivity,2,5464,19.0,9.659,15-20
b1,Reward Sensitivity,2,5998,20.0,17.45,15-20
b1,Reward Sensitivity,2,2599,19.0,11.91,15-20
b1,Reward Sensitivity,2,304,21.0,8.812,20-25
b1,Reward Sensitivity,2,406,18.0,17.1,15-20
b1,Reward Sensitivity,2,4771,17.0,4.402,15-20
b1,Reward Sensitivity,2,3880,19.0,9.474,15-20
b1,Reward Sensitivity,2,595,24.0,17.38,20-25
b1,Reward Sensitivity,2,5139,22.0,12.38,20-25
b1,Reward Sensitivity,2,578,25.0,22.05,20-25
b1,Reward Sensitivity,2,6696,15.0,15.42,10-15
b1,Reward Sensitivity,2,5323,19.0,9.949,15-20
b1,Reward Sensitivity,2,373,10.0,1.951,10-15
b1,Reward Sensitivity,2,152,10.0,7.079,10-15
b1,Reward Sensitivity,2,5534,12.0,4.792,10-15
b2,Punishment Sensitivity,1,83,10.0,24.66,10-15
b2,Punishment Sensitivity,1,159,16.0,6.416,15-20
b2,Punishment Sensitivity,1,6138,15.0,18.73,10-15
b2,Punishment Sensitivity,1,4172,10.0,7.387,10-15
b2,Punishment Sensitivity,1,3798,16.0,24.49,15-20
b2,Punishment Sensitivity,1,5278,12.0,13.57,10-15
b2,Punishment Sensitivity,1,5820,24.0,22.22,20-25
b2,Punishment Sensitivity,1,4348,11.0,8.155,10-15
b2,Punishment Sensitivity,1,197,10.0,14.12,10-15
b2,Punishment Sensitivity,1,3596,25.0,13.06,20-25
b2,Punishment Sensitivity,1,1780,19.0,14.56,15-20
b2,Punishment Sensitivity,1,583,20.0,25.23,15-20
b2,Punishment Sensitivity,1,5673,10.0,5.783,10-15
b2,Punishment Sensitivity,1,6215,22.0,7.314,20-25
b2,Punishment Sensitivity,1,404,23.0,12.7,20-25
b2,Punishment Sensitivity,1,7308,10.0,8.223,10-15
b2,Punishment Sensitivity,1,2039,21.0,18.29,20-25
b2,Punishment Sensitivity,1,2085,11.0,9.337,10-15
b2,Punishment Sensitivity,1,5720,15.0,12.35,10-15
b2,Punishment Sensitivity,1,7534,23.0,21.36,20-25
b2,Punishment Sensitivity,1,321,16.0,13.99,15-20
b2,Punishment Sensitivity,1,4824,20.0,1.967,15-20
b2,Punishment Sensitivity,1,4673,22.0,13.81,20-25
b2,Punishment Sensitivity,1,5359,25.0,23.76,20-25
b2,Punishment Sensitivity,1,3457,20.0,14.99,15-20
b2,Punishment Sensitivity,1,2559,12.0,22.62,10-15
b2,Punishment Sensitivity,1,223,26.0,13.79,20-25
b2,Punishment Sensitivity,1,2791,22.0,13.96,20-25
b2,Punishment Sensitivity,1,1571,23.0,10.52,20-25
b2,Punishment Sensitivity,1,5496,10.0,13.19,10-15
b2,Punishment Sensitivity,1,17,21.0,24.22,20-25
b2,Punishment Sensitivity,1,6521,11.0,8.983,10-15
b2,Punishment Sensitivity,1,45,13.0,7.104,10-15
b2,Punishment Sensitivity,1,78,12.0,6.325,10-15
b2,Punishment Sensitivity,1,5247,17.0,12.33,15-20
b2,Punishment Sensitivity,1,5732,14.0,17.5,10-15
b2,Punishment Sensitivity,1,7314,14.0,12.18,10-15
b2,Punishment Sensitivity,1,285,23.0,29.36,20-25
b2,Punishment Sensitivity,1,2402,13.0,23.88,10-15
b2,Punishment Sensitivity,1,4729,16.0,8.564,15-20
b2,Punishment Sensitivity,1,4727,16.0,5.59,15-20
b2,Punishment Sensitivity,1,138,23.0,10.16,20-25
b2,Punishment Sensitivity,1,26,25.0,16.19,20-25
b2,Punishment Sensitivity,1,3268,25.0,8.698,20-25
b2,Punishment Sensitivity,1,4582,11.0,19.45,10-15
b2,Punishment Sensitivity,1,461,15.0,14.23,10-15
b2,Punishment Sensitivity,1,2715,15.0,18.39,10-15
b2,Punishment Sensitivity,1,174,23.0,11.86,20-25
b2,Punishment Sensitivity,1,4661,23.0,8.468,20-25
b2,Punishment Sensitivity,1,429,16.0,10.3,15-20
b2,Punishment Sensitivity,1,5855,12.0,7.392,10-15
b2,Punishment Sensitivity,1,4314,21.0,8.826,20-25
b2,Punishment Sensitivity,1,5893,21.0,19.3,20-25
b2,Punishment Sensitivity,1,4533,23.0,23.43,20-25
b2,Punishment Sensitivity,1,293,20.0,5.06,15-20
b2,Punishment Sensitivity,1,6631,12.0,7.532,10-15
b2,Punishment Sensitivity,1,3790,16.0,12.49,15-20
b2,Punishment Sensitivity,1,5267,10.0,14.7,10-15
b2,Punishment Sensitivity,1,626,14.0,14.02,10-15
b2,Punishment Sensitivity,1,3991,22.0,21.03,20-25
b2,Punishment Sensitivity,1,3534,26.0,17.28,20-25
b2,Punishment Sensitivity,1,3330,25.0,16.37,20-25
b2,Punishment Sensitivity,1,5314,21.0,10.82,20-25
b2,Punishment Sensitivity,1,302,13.0,6.211,10-15
b2,Punishment Sensitivity,1,4947,13.0,9.155,10-15
b2,Punishment Sensitivity,1,210,11.0,14.39,10-15
b2,Punishment Sensitivity,1,228,14.0,9.284,10-15
b2,Punishment Sensitivity,1,3456,14.0,10.4,10-15
b2,Punishment Sensitivity,1,4200,14.0,30.54,10-15
b2,Punishment Sensitivity,1,240,13.0,14.78,10-15
b2,Punishment Sensitivity,1,6416,17.0,18.28,15-20
b2,Punishment Sensitivity,1,7612,12.0,6.909,10-15
b2,Punishment Sensitivity,1,1456,14.0,4.026,10-15
b2,Punishment Sensitivity,1,33,11.0,9.402,10-15
b2,Punishment Sensitivity,1,4004,17.0,4.553,15-20
b2,Punishment Sensitivity,1,592,11.0,6.481,10-15
b2,Punishment Sensitivity,1,7547,13.0,8.188,10-15
b2,Punishment Sensitivity,1,6072,12.0,7.08,10-15
b2,Punishment Sensitivity,1,266,16.0,6.904,15-20
b2,Punishment Sensitivity,1,1981,13.0,12.82,10-15
b2,Punishment Sensitivity,1,218,11.0,17.62,10-15
b2,Punishment Sensitivity,1,5963,11.0,6.908,10-15
b2,Punishment Sensitivity,1,3632,21.0,17.99,20-25
b2,Punishment Sensitivity,1,1843,14.0,12.79,10-15
b2,Punishment Sensitivity,1,587,15.0,19.1,10-15
b2,Punishment Sensitivity,1,3054,25.0,23.97,20-25
b2,Punishment Sensitivity,1,75,17.0,20.41,15-20
b2,Punishment Sensitivity,1,105,12.0,9.951,10-15
b2,Punishment Sensitivity,1,5332,14.0,15.89,10-15
b2,Punishment Sensitivity,1,63,10.0,10.58,10-15
b2,Punishment Sensitivity,1,4173,13.0,10.54,10-15
b2,Punishment Sensitivity,1,5286,12.0,7.808,10-15
b2,Punishment Sensitivity,1,504,18.0,13.12,15-20
b2,Punishment Sensitivity,1,5055,21.0,10.55,20-25
b2,Punishment Sensitivity,1,2430,18.0,17.77,15-20
b2,Punishment Sensitivity,1,3535,21.0,13.06,20-25
b2,Punishment Sensitivity,1,3386,22.0,8.838,20-25
b2,Punishment Sensitivity,1,4459,19.0,10.37,15-20
b2,Punishment Sensitivity,1,5136,12.0,10.36,10-15
b2,Punishment Sensitivity,1,390,14.0,15.85,10-15
b2,Punishment Sensitivity,1,709,22.0,13.48,20-25
b2,Punishment Sensitivity,1,506,15.0,7.444,10-15
b2,Punishment Sensitivity,1,4924,16.0,14.53,15-20
b2,Punishment Sensitivity,1,4439,11.0,11.95,10-15
b2,Punishment Sensitivity,1,2915,15.0,16.61,10-15
b2,Punishment Sensitivity,1,115,15.0,4.371,10-15
b2,Punishment Sensitivity,1,3206,18.0,-2.074,15-20
b2,Punishment Sensitivity,1,3193,13.0,8.52,10-15
b2,Punishment Sensitivity,1,452,18.0,15.85,15-20
b2,Punishment Sensitivity,1,2040,21.0,12.56,20-25
b2,Punishment Sensitivity,1,6,20.0,1.051,15-20
b2,Punishment Sensitivity,1,4486,18.0,12.5,15-20
b2,Punishment Sensitivity,1,1,19.0,10.81,15-20
b2,Punishment Sensitivity,1,360,18.0,20.51,15-20
b2,Punishment Sensitivity,1,478,18.0,17.4,15-20
b2,Punishment Sensitivity,1,198,18.0,16.44,15-20
b2,Punishment Sensitivity,1,217,18.0,14.32,15-20
b2,Punishment Sensitivity,1,4934,11.0,11.75,10-15
b2,Punishment Sensitivity,1,303,10.0,4.493,10-15
b2,Punishment Sensitivity,1,2761,19.0,15.17,15-20
b2,Punishment Sensitivity,1,410,10.0,7.557,10-15
b2,Punishment Sensitivity,1,3349,22.0,20.0,20-25
b2,Punishment Sensitivity,1,200,22.0,11.75,20-25
b2,Punishment Sensitivity,1,44,24.0,20.94,20-25
b2,Punishment Sensitivity,1,5152,11.0,8.427,10-15
b2,Punishment Sensitivity,1,5525,18.0,15.97,15-20
b2,Punishment Sensitivity,1,551,15.0,6.143,10-15
b2,Punishment Sensitivity,1,41,17.0,10.18,15-20
b2,Punishment Sensitivity,1,3547,25.0,18.48,20-25
b2,Punishment Sensitivity,1,76,23.0,11.58,20-25
b2,Punishment Sensitivity,1,2068,24.0,6.961,20-25
b2,Punishment Sensitivity,1,4868,21.0,9.058,20-25
b2,Punishment Sensitivity,1,381,20.0,15.61,15-20
b2,Punishment Sensitivity,1,5231,22.0,7.528,20-25
b2,Punishment Sensitivity,1,758,18.0,19.06,15-20
b2,Punishment Sensitivity,1,6380,24.0,16.95,20-25
b2,Punishment Sensitivity,1,6125,22.0,20.98,20-25
b2,Punishment Sensitivity,1,3978,19.0,10.37,15-20
b2,Punishment Sensitivity,1,209,14.0,8.091,10-15
b2,Punishment Sensitivity,1,270,17.0,18.31,15-20
b2,Punishment Sensitivity,1,5464,19.0,7.852,15-20
b2,Punishment Sensitivity,1,5998,20.0,6.452,15-20
b2,Punishment Sensitivity,1,2599,19.0,6.497,15-20
b2,Punishment Sensitivity,1,304,21.0,8.553,20-25
b2,Punishment Sensitivity,1,406,18.0,7.162,15-20
b2,Punishment Sensitivity,1,4771,17.0,11.19,15-20
b2,Punishment Sensitivity,1,3880,19.0,7.092,15-20
b2,Punishment Sensitivity,1,595,24.0,13.73,20-25
b2,Punishment Sensitivity,1,5139,22.0,17.69,20-25
b2,Punishment Sensitivity,1,578,25.0,5.77,20-25
b2,Punishment Sensitivity,1,6696,15.0,12.54,10-15
b2,Punishment Sensitivity,1,5323,19.0,11.27,15-20
b2,Punishment Sensitivity,1,373,10.0,7.839,10-15
b2,Punishment Sensitivity,1,152,10.0,13.06,10-15
b2,Punishment Sensitivity,1,5534,12.0,10.71,10-15
