	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
a1[2,62]	0.1766	0.0002733	0.06029	0.0587	0.08231	0.1687	0.3148	46520.0	29440.0	0.3642	1.0
a1[2,63]	0.1356	0.0006622	0.1051	0.08543	0.01942	0.1048	0.4095	18540.0	22160.0	0.1451	1.0
a1[2,64]	0.06758	0.0004517	0.06835	0.03471	0.009724	0.04518	0.2644	23170.0	27850.0	0.1814	1.0
a1[2,65]	0.05252	0.0005214	0.06833	0.02559	0.004186	0.02786	0.2543	14350.0	24160.0	0.1124	1.0
a1[2,66]	0.2745	0.0002987	0.06488	0.06561	0.1564	0.2716	0.4086	47070.0	31630.0	0.3685	1.0
a1[2,67]	0.1109	0.0005319	0.0889	0.06315	0.02084	0.08289	0.3523	20960.0	27780.0	0.1641	1.0
a1[2,68]	0.04555	0.000481	0.05877	0.02423	0.002476	0.02527	0.2107	12160.0	22630.0	0.09517	1.0
a1[2,69]	0.1969	0.0002698	0.06087	0.05998	0.09757	0.1901	0.3332	49480.0	31350.0	0.3873	1.0
a1[2,70]	0.1677	0.000759	0.08755	0.09337	0.04018	0.1559	0.3613	12630.0	22030.0	0.09889	1.0
a1[2,71]	0.1159	0.0002038	0.03778	0.036	0.05718	0.1109	0.2033	31340.0	28440.0	0.2453	1.0
a1[2,72]	0.04606	0.0005516	0.06559	0.02486	0.001336	0.02216	0.239	10330.0	23820.0	0.08084	1.0
a1[2,73]	0.04101	0.0005253	0.06047	0.02117	0.001069	0.01884	0.2176	9216.0	22750.0	0.07215	1.001
a1[2,74]	0.349	0.0007523	0.1326	0.135	0.09724	0.3466	0.6153	28650.0	14750.0	0.2243	1.0
a1[2,75]	0.06272	0.000642	0.07601	0.03935	0.001549	0.03553	0.2801	9801.0	18600.0	0.07673	1.0
a1[2,76]	0.06113	0.0005139	0.07341	0.03677	0.002575	0.03462	0.2688	14640.0	24650.0	0.1146	1.0
a1[2,77]	0.05672	0.000615	0.07528	0.03276	0.001617	0.02879	0.2768	10810.0	23850.0	0.08461	1.0
a1[2,78]	0.09104	0.0006499	0.09366	0.0418	0.01702	0.05809	0.3727	16720.0	28350.0	0.1309	1.0
a1[2,79]	0.0685	0.0005579	0.08036	0.03919	0.00333	0.03931	0.3017	17220.0	25830.0	0.1348	1.0
a1[2,80]	0.2196	0.0004543	0.09125	0.08987	0.07959	0.207	0.4279	35070.0	26700.0	0.2745	1.0
a1[2,81]	0.06585	0.0003521	0.03769	0.03156	0.01988	0.05689	0.1613	9022.0	20280.0	0.07063	1.0
a1[2,82]	0.1096	0.0005596	0.08403	0.05913	0.02146	0.08436	0.3377	18760.0	28170.0	0.1469	1.0
a1[2,83]	0.09996	0.0001637	0.03558	0.03143	0.04933	0.0937	0.1868	51100.0	30790.0	0.4	1.0
a1[2,84]	0.1638	0.0002435	0.04802	0.04698	0.0842	0.1593	0.2716	39190.0	31330.0	0.3068	1.0
a1[2,85]	0.1119	0.0006917	0.04922	0.04638	0.04412	0.1024	0.229	4629.0	16530.0	0.03623	1.0
a1[2,86]	0.1177	0.0001872	0.03192	0.0308	0.06517	0.1144	0.1896	27320.0	29440.0	0.2139	1.0
a1[2,87]	0.112	0.0002231	0.04234	0.03774	0.05252	0.104	0.2163	38610.0	30860.0	0.3023	1.0
a1[2,88]	0.2182	0.001101	0.1668	0.1665	0.01027	0.1797	0.6086	14890.0	9916.0	0.1166	1.0
a1[2,89]	0.123	0.001686	0.09003	0.1056	0.01534	0.1088	0.3195	2443.0	8513.0	0.01913	1.001
a1[2,90]	0.1083	0.0003928	0.05802	0.04661	0.03805	0.09401	0.258	22230.0	28330.0	0.174	1.0
a1[2,91]	0.4213	0.0006878	0.1151	0.1112	0.186	0.4226	0.6464	29230.0	11820.0	0.2288	1.0
a1[2,92]	0.1942	0.0008043	0.1279	0.1147	0.01723	0.1683	0.5112	17500.0	9104.0	0.137	1.0
a1[2,93]	0.1309	0.000262	0.05427	0.04762	0.05619	0.121	0.2638	44830.0	31370.0	0.3509	1.0
a1[2,94]	0.1757	0.0003691	0.07438	0.07337	0.06507	0.1645	0.3487	36850.0	29640.0	0.2885	1.0
a1[2,95]	0.161	0.000329	0.0568	0.05415	0.07303	0.1535	0.2926	28270.0	29880.0	0.2213	1.0
a1[2,96]	0.09833	0.0003761	0.05981	0.04357	0.0315	0.08205	0.2581	27050.0	27330.0	0.2118	1.0
a1[2,97]	0.07489	0.000445	0.06081	0.03775	0.01599	0.0556	0.2446	16020.0	29000.0	0.1254	1.0
a1[2,98]	0.1706	0.0002357	0.05102	0.04837	0.09048	0.1639	0.2888	49060.0	33320.0	0.384	1.0
a1[2,99]	0.08394	0.0006821	0.1043	0.04243	0.005958	0.044	0.3966	20410.0	26370.0	0.1598	1.0
a1[2,100]	0.1689	0.0008868	0.1072	0.1079	0.03003	0.1489	0.423	8945.0	11620.0	0.07002	1.0
a1[2,101]	0.08377	0.0002994	0.05042	0.0401	0.02469	0.07075	0.2164	27980.0	30330.0	0.219	1.0
a1[2,102]	0.0852	0.0005758	0.09104	0.05247	0.004736	0.05186	0.3425	18760.0	26860.0	0.1469	1.0
a1[2,103]	0.12	0.0008372	0.08481	0.08248	0.008642	0.1063	0.3224	6229.0	7275.0	0.04876	1.0
a1[2,104]	0.1037	0.0008088	0.08319	0.07419	0.005633	0.08723	0.3147	5647.0	7281.0	0.04421	1.0
a1[2,105]	0.1636	0.0001997	0.04562	0.04478	0.08821	0.1592	0.2645	50930.0	32150.0	0.3987	1.0
a1[2,106]	0.1039	0.0006877	0.1039	0.07481	0.00317	0.07082	0.3897	16020.0	23950.0	0.1254	1.0
a1[2,107]	0.1284	0.000597	0.1018	0.0805	0.006983	0.1027	0.3943	18850.0	11570.0	0.1476	1.0
a1[2,108]	0.07525	0.0005958	0.08773	0.04579	0.002793	0.04357	0.3237	17050.0	26640.0	0.1335	1.0
a1[2,109]	0.116	0.0003292	0.05127	0.04693	0.04514	0.1064	0.2409	24310.0	29800.0	0.1903	1.0
a1[2,110]	0.07819	0.0002752	0.04745	0.03329	0.02609	0.06557	0.206	34110.0	28730.0	0.267	1.0
a1[2,111]	0.07545	0.0005012	0.0785	0.0452	0.005023	0.04895	0.2922	22040.0	26160.0	0.1725	1.0
a1[2,112]	0.1753	0.0004297	0.06219	0.05901	0.08166	0.166	0.3215	18970.0	24750.0	0.1485	1.0
a1[2,113]	0.1795	0.0004598	0.08939	0.08727	0.05129	0.1653	0.3887	32450.0	24970.0	0.254	1.0
a1[2,114]	0.1416	0.0001748	0.04058	0.03996	0.07575	0.1373	0.2331	54370.0	33000.0	0.4256	1.0
a1[2,115]	0.1455	0.0007806	0.1329	0.07762	0.02327	0.09739	0.5279	25410.0	26460.0	0.1989	1.0
a1[2,116]	0.1559	0.0001574	0.03726	0.03618	0.09392	0.1521	0.2391	58510.0	33940.0	0.4581	1.0
a1[2,117]	0.1105	0.0004119	0.05736	0.0482	0.03827	0.09719	0.2573	20100.0	28570.0	0.1574	1.0
a1[2,118]	0.09239	0.0003472	0.06032	0.04691	0.02363	0.0761	0.2514	23540.0	27150.0	0.1843	1.0
a1[2,119]	0.08984	0.0005776	0.09677	0.05687	0.003725	0.05631	0.3635	23150.0	26050.0	0.1812	1.0
a1[2,120]	0.2207	0.0008247	0.08228	0.08407	0.07877	0.216	0.3962	9013.0	12410.0	0.07056	1.0
a1[2,121]	0.1691	0.001156	0.1539	0.1273	0.01259	0.1171	0.553	13630.0	22130.0	0.1067	1.0
a1[2,122]	0.3169	0.0005657	0.08231	0.08181	0.1619	0.3148	0.4847	20320.0	19610.0	0.1591	1.0
a1[2,123]	0.1639	0.0004592	0.07798	0.07711	0.05077	0.1518	0.3433	23980.0	24120.0	0.1877	1.0
a1[2,124]	0.2552	0.0003255	0.07648	0.07708	0.1265	0.2488	0.4215	52090.0	31500.0	0.4078	1.0
a1[2,125]	0.4328	0.0006213	0.1074	0.1074	0.2242	0.4314	0.6481	29110.0	19440.0	0.2279	1.0
a1[2,126]	0.2797	0.0005782	0.1119	0.1124	0.0946	0.2685	0.5276	31260.0	18320.0	0.2447	1.0
a1[2,127]	0.166	0.0003232	0.06218	0.05828	0.07383	0.1559	0.3139	37620.0	30900.0	0.2945	1.0
a1[2,128]	0.151	0.0002056	0.04408	0.04289	0.07785	0.1465	0.2483	42160.0	27340.0	0.3301	1.0
a1[2,129]	0.1705	0.0002437	0.05369	0.05215	0.08583	0.1642	0.2934	48500.0	34090.0	0.3797	1.0
a1[2,130]	0.1306	0.0003554	0.04269	0.04142	0.06341	0.1255	0.2278	13510.0	25860.0	0.1058	1.0
a1[2,131]	0.06118	0.0006357	0.07708	0.03798	0.001198	0.03337	0.2855	9183.0	17320.0	0.07189	1.001
a1[2,132]	0.1117	0.0007982	0.1142	0.07538	0.00331	0.0738	0.4292	11730.0	11990.0	0.09181	1.001
a1[2,133]	0.1965	0.0002566	0.05511	0.05455	0.105	0.1911	0.3187	46350.0	33100.0	0.3628	1.0
a1[2,134]	0.0448	0.0004857	0.05577	0.02315	0.003246	0.02554	0.2076	10860.0	23500.0	0.08505	1.0
a1[2,135]	0.2519	0.000253	0.05733	0.05728	0.1475	0.2491	0.3723	50610.0	33970.0	0.3962	1.0
