	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
theta_d_pr[2,153]	-0.6076	0.001368	0.2758	0.273	-1.158	-0.604	-0.07156	40810.0	27230.0	0.3462	1.0
theta_d_pr[2,154]	-0.2854	0.001355	0.2851	0.2825	-0.855	-0.2822	0.2627	44440.0	27290.0	0.377	1.0
theta_d_pr[2,155]	-1.319	0.001734	0.3551	0.3525	-2.043	-1.31	-0.6505	42380.0	30410.0	0.3596	1.0
theta_d_pr[3,1]	0.2584	0.002072	0.4917	0.4941	-0.6974	0.2543	1.231	56470.0	30560.0	0.4791	1.0
theta_d_pr[3,2]	-0.5367	0.001572	0.3531	0.3486	-1.239	-0.5343	0.149	50750.0	28580.0	0.4306	1.0
theta_d_pr[3,3]	0.2209	0.001709	0.4227	0.4175	-0.6106	0.2198	1.061	61390.0	27770.0	0.5209	1.0
theta_d_pr[3,4]	0.1998	0.001465	0.3273	0.3273	-0.4392	0.1999	0.8416	50140.0	28910.0	0.4254	1.0
theta_d_pr[3,5]	-2.182	0.002053	0.4521	0.4494	-3.087	-2.174	-1.315	49060.0	27820.0	0.4163	1.0
theta_d_pr[3,6]	0.09836	0.001613	0.3836	0.3814	-0.6528	0.09874	0.8506	56620.0	29040.0	0.4804	1.0
theta_d_pr[3,7]	-0.1613	0.001907	0.4862	0.4809	-1.12	-0.1588	0.8001	65190.0	28380.0	0.5531	1.0
theta_d_pr[3,8]	-0.1532	0.001692	0.4119	0.4072	-0.9636	-0.1545	0.6525	59370.0	28120.0	0.5038	1.0
theta_d_pr[3,9]	0.4151	0.001586	0.3565	0.3579	-0.2664	0.4136	1.129	50760.0	28760.0	0.4307	1.0
theta_d_pr[3,10]	0.1513	0.001456	0.3245	0.323	-0.4897	0.1502	0.7945	49800.0	27450.0	0.4225	1.0
theta_d_pr[3,11]	0.005885	0.001621	0.3795	0.3782	-0.7406	0.006972	0.7487	54960.0	27060.0	0.4663	1.0
theta_d_pr[3,12]	-0.564	0.001715	0.4293	0.4279	-1.411	-0.563	0.2744	63030.0	28110.0	0.5348	1.0
theta_d_pr[3,13]	0.3173	0.001416	0.3095	0.3068	-0.2868	0.3142	0.9251	47860.0	27210.0	0.406	1.0
theta_d_pr[3,14]	-0.7169	0.002208	0.5412	0.5354	-1.803	-0.7084	0.3315	60550.0	28460.0	0.5138	1.0
theta_d_pr[3,15]	1.216	0.001878	0.4177	0.417	0.4202	1.209	2.057	50010.0	29600.0	0.4243	1.0
theta_d_pr[3,16]	-0.1697	0.001537	0.3301	0.3271	-0.8286	-0.1703	0.4783	46220.0	28760.0	0.3921	1.0
theta_d_pr[3,17]	-0.1066	0.002032	0.46	0.4584	-1.012	-0.1084	0.7958	51350.0	31750.0	0.4357	1.0
theta_d_pr[3,18]	0.5273	0.001528	0.3242	0.3179	-0.104	0.5244	1.175	45210.0	28000.0	0.3836	1.0
theta_d_pr[3,19]	-0.7311	0.001494	0.3002	0.2963	-1.328	-0.7255	-0.1461	40510.0	27640.0	0.3437	1.0
theta_d_pr[3,20]	0.3527	0.002053	0.5155	0.5166	-0.6557	0.3527	1.367	63480.0	28770.0	0.5386	1.0
theta_d_pr[3,21]	-0.5327	0.001693	0.3631	0.358	-1.256	-0.5267	0.1708	46250.0	29490.0	0.3924	1.0
theta_d_pr[3,22]	0.4063	0.001449	0.306	0.3061	-0.1847	0.4035	1.017	44750.0	28280.0	0.3797	1.0
theta_d_pr[3,23]	-0.5031	0.002171	0.529	0.5221	-1.54	-0.5035	0.5419	59580.0	28940.0	0.5055	1.0
theta_d_pr[3,24]	-0.7527	0.001751	0.3954	0.3964	-1.54	-0.749	0.01155	51140.0	30020.0	0.4339	1.0
theta_d_pr[3,25]	-0.8741	0.002256	0.5223	0.5163	-1.916	-0.87	0.1394	53830.0	32300.0	0.4567	1.0
theta_d_pr[3,26]	0.0898	0.001811	0.4448	0.4423	-0.7847	0.08996	0.9672	60420.0	28780.0	0.5126	1.0
theta_d_pr[3,27]	-0.03745	0.001745	0.4303	0.4298	-0.881	-0.03863	0.8027	60910.0	28380.0	0.5168	1.0
theta_d_pr[3,28]	-0.0354	0.001449	0.3132	0.3127	-0.6512	-0.03328	0.5745	46750.0	28140.0	0.3967	1.0
theta_d_pr[3,29]	0.1778	0.001619	0.3594	0.3569	-0.5238	0.1767	0.8859	49430.0	27210.0	0.4194	1.0
theta_d_pr[3,30]	0.8116	0.001596	0.356	0.3538	0.1259	0.8087	1.526	50050.0	29670.0	0.4246	1.0
theta_d_pr[3,31]	-0.09243	0.001971	0.4702	0.4672	-1.014	-0.09148	0.8307	57090.0	27670.0	0.4844	1.0
theta_d_pr[3,32]	-0.8172	0.001485	0.2928	0.2904	-1.401	-0.8127	-0.2459	38920.0	27180.0	0.3302	1.0
theta_d_pr[3,33]	0.2708	0.001415	0.3108	0.3091	-0.3347	0.2685	0.8908	48400.0	27300.0	0.4106	1.0
theta_d_pr[3,34]	0.1493	0.002407	0.6254	0.6201	-1.069	0.1441	1.38	67610.0	29390.0	0.5736	1.0
theta_d_pr[3,35]	0.04486	0.001578	0.3731	0.3727	-0.6851	0.04485	0.7803	56070.0	28170.0	0.4757	1.0
theta_d_pr[3,36]	0.07612	0.002017	0.5294	0.5239	-0.966	0.07743	1.11	68950.0	28280.0	0.585	1.0
theta_d_pr[3,37]	0.8541	0.00147	0.2987	0.2991	0.2833	0.8501	1.451	41680.0	28540.0	0.3536	1.0
theta_d_pr[3,38]	0.5965	0.002189	0.5728	0.5718	-0.5212	0.5948	1.721	68610.0	29920.0	0.5821	1.0
theta_d_pr[3,39]	0.2609	0.002277	0.5498	0.5502	-0.8081	0.2591	1.352	58480.0	29240.0	0.4962	1.0
theta_d_pr[3,40]	2.433	0.002236	0.4411	0.4362	1.612	2.419	3.345	39780.0	30440.0	0.3375	0.9999
theta_d_pr[3,41]	-1.057	0.002154	0.4784	0.4782	-2.013	-1.05	-0.1378	49600.0	31500.0	0.4208	1.0
theta_d_pr[3,42]	1.436	0.001699	0.3391	0.3359	0.7918	1.427	2.119	40280.0	27540.0	0.3417	1.0
theta_d_pr[3,43]	-0.8084	0.001621	0.3662	0.363	-1.534	-0.8057	-0.0927	51160.0	27580.0	0.4341	1.0
theta_d_pr[3,44]	-1.899	0.001905	0.3729	0.3724	-2.659	-1.89	-1.2	38880.0	29840.0	0.3299	1.0
theta_d_pr[3,45]	0.3302	0.001644	0.3776	0.3767	-0.3988	0.3256	1.084	53130.0	27550.0	0.4508	1.0
