	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
beta2_common[27]	4.699	0.005225	0.8408	0.8071	3.294	4.615	6.575	26560.0	26980.0	0.08043	1.0
beta2_common[28]	5.177	0.01366	0.6949	0.6852	3.906	5.145	6.637	2594.0	9346.0	0.007853	1.001
beta2_common[29]	5.263	0.02564	0.8769	0.8835	3.704	5.207	7.108	1176.0	6052.0	0.00356	1.001
beta2_common[30]	6.955	0.005509	0.903	0.8949	5.354	6.901	8.876	26920.0	29650.0	0.08149	1.0
beta2_common[31]	4.118	0.002921	0.5565	0.5516	3.097	4.094	5.272	36040.0	27930.0	0.1091	1.0
beta2_common[32]	6.429	0.006536	0.7561	0.746	5.058	6.392	8.03	13500.0	24350.0	0.04087	1.0
beta2_common[33]	2.805	0.01623	0.5658	0.5333	1.882	2.732	4.107	1271.0	4547.0	0.003847	1.002
beta2_common[34]	6.703	0.01475	0.9692	0.9271	5.031	6.633	8.817	4286.0	14830.0	0.01298	1.001
beta2_common[35]	2.655	0.004564	0.5273	0.5193	1.707	2.625	3.768	14160.0	22910.0	0.04286	1.0
beta2_common[36]	4.768	0.006715	0.5927	0.5839	3.698	4.736	6.017	8321.0	17750.0	0.02519	1.0
beta2_common[37]	7.299	0.03765	1.315	1.303	5.07	7.201	10.17	1191.0	5220.0	0.003606	1.002
beta2_common[38]	6.057	0.015	0.8567	0.835	4.534	5.995	7.9	3272.0	12890.0	0.009907	1.001
beta2_common[39]	4.208	0.01917	1.046	1.055	2.361	4.14	6.424	2990.0	13290.0	0.009054	1.0
beta2_common[40]	4.558	0.02024	0.7995	0.7461	3.244	4.471	6.395	1557.0	5926.0	0.004713	1.001
beta2_common[41]	4.211	0.0236	0.8116	0.7826	2.874	4.115	6.016	1189.0	5257.0	0.003599	1.002
beta2_common[42]	6.619	0.005379	0.7864	0.7613	5.185	6.581	8.27	21440.0	25930.0	0.06492	1.0
beta2_common[43]	8.909	0.01691	1.072	1.059	6.872	8.88	11.09	3954.0	7671.0	0.01197	1.0
beta2_common[44]	3.58	0.03895	1.921	1.823	1.257	3.121	8.132	2060.0	10290.0	0.006237	1.002
beta2_common[45]	5.384	0.009757	0.8773	0.814	3.862	5.311	7.331	9531.0	12810.0	0.02886	1.0
beta2_common[46]	26.92	0.1357	6.827	6.413	15.92	26.2	42.26	2238.0	5768.0	0.006775	1.001
beta2_common[47]	12.4	0.0908	2.732	2.854	7.906	12.22	18.21	892.0	4240.0	0.002701	1.002
beta2_common[48]	12.51	0.01964	2.262	2.157	8.791	12.27	17.64	12650.0	20890.0	0.03829	1.0
beta2_common[49]	7.246	0.05602	1.56	1.704	4.602	7.175	10.44	792.4	4451.0	0.002399	1.003
beta2_common[50]	4.82	0.009364	1.809	1.636	2.127	4.558	9.1	35940.0	31080.0	0.1088	1.0
beta2_common[51]	3.208	0.009839	0.6906	0.6718	2.017	3.155	4.722	5147.0	12380.0	0.01558	1.001
beta2_common[52]	3.299	0.01322	0.5624	0.5297	2.359	3.239	4.579	1875.0	5330.0	0.005676	1.001
beta2_common[53]	4.195	0.005408	0.7084	0.6888	2.953	4.145	5.739	17580.0	28210.0	0.05324	1.0
beta2_common[54]	5.519	0.005571	0.6464	0.6389	4.316	5.499	6.847	13440.0	25360.0	0.0407	1.0
beta2_common[55]	7.467	0.03167	1.499	1.403	5.1	7.275	10.92	2133.0	9311.0	0.006457	1.001
beta2_common[56]	8.336	0.02458	1.262	1.187	6.175	8.228	11.12	2549.0	9518.0	0.007717	1.001
beta2_common[57]	2.857	0.008467	0.5012	0.4829	1.982	2.817	3.944	3695.0	8287.0	0.01119	1.0
beta2_common[58]	3.661	0.0103	1.479	1.309	1.543	3.41	7.26	19510.0	29890.0	0.05907	1.0
beta2_common[59]	4.259	0.01215	0.641	0.6114	3.147	4.203	5.673	2872.0	7771.0	0.008696	1.001
beta2_common[60]	6.319	0.01332	0.81	0.8007	4.795	6.296	7.989	3626.0	9305.0	0.01098	1.001
beta2_common[61]	6.304	0.003434	0.7084	0.7014	4.974	6.28	7.756	41140.0	26470.0	0.1246	1.0
beta2_common[62]	5.499	0.04697	1.299	1.388	3.34	5.371	8.231	788.3	4645.0	0.002387	1.003
beta2_common[63]	8.454	0.01942	1.457	1.401	5.978	8.318	11.69	5073.0	10080.0	0.01536	1.0
beta2_common[64]	16.79	0.1831	5.189	5.455	8.809	16.35	28.16	778.1	3718.0	0.002356	1.003
beta2_common[65]	2.449	0.006322	0.8258	0.7419	1.198	2.329	4.376	17290.0	22420.0	0.05235	1.0
beta2_common[66]	5.02	0.02003	0.9658	0.9859	3.211	5.005	6.955	2320.0	10230.0	0.007025	1.001
beta2_common[67]	5.105	0.009052	1.421	1.294	2.822	4.941	8.382	27420.0	18070.0	0.08301	1.0
beta2_common[68]	4.542	0.01201	1.335	1.255	2.391	4.392	7.586	10030.0	21220.0	0.03038	1.0
beta2_common[69]	8.556	0.02712	1.182	1.174	6.376	8.514	11.0	1868.0	7160.0	0.005655	1.001
beta2_common[70]	4.328	0.01182	0.6494	0.6435	3.099	4.311	5.651	3021.0	11310.0	0.009147	1.0
beta2_common[71]	3.897	0.02401	0.8125	0.7815	2.589	3.79	5.729	1182.0	4551.0	0.003578	1.002
beta2_common[72]	4.336	0.01421	0.8735	0.8628	2.748	4.306	6.147	3615.0	11290.0	0.01095	1.001
beta2_common[73]	6.267	0.02787	0.9416	0.9595	4.574	6.22	8.214	1138.0	5694.0	0.003446	1.002
beta2_common[74]	2.847	0.007395	0.5862	0.5671	1.82	2.808	4.116	6612.0	11620.0	0.02002	1.001
beta2_common[75]	9.188	0.08631	2.304	2.587	5.498	9.06	13.94	730.8	3997.0	0.002213	1.003
beta2_common[76]	7.512	0.01742	0.9216	0.9158	5.776	7.49	9.386	2759.0	7832.0	0.008352	1.001
beta2_common[77]	3.992	0.01666	0.6532	0.6181	2.894	3.925	5.45	1565.0	5931.0	0.00474	1.001
beta2_common[78]	5.708	0.01669	1.124	1.006	3.985	5.549	8.365	4701.0	13640.0	0.01423	1.0
beta2_common[79]	7.728	0.05293	1.866	1.813	4.759	7.502	11.99	1173.0	5171.0	0.003551	1.002
beta2_common[80]	3.718	0.005073	0.517	0.5072	2.789	3.686	4.816	11360.0	15000.0	0.03439	1.0
beta2_common[81]	5.442	0.009211	0.6267	0.6216	4.271	5.424	6.729	4622.0	15480.0	0.01399	1.0
beta2_common[82]	7.496	0.007446	0.8576	0.8494	5.879	7.478	9.256	12900.0	20260.0	0.03905	1.0
beta2_common[83]	3.415	0.009277	0.5371	0.5127	2.485	3.37	4.607	3519.0	7975.0	0.01065	1.0
beta2_common[84]	7.637	0.05473	1.562	1.688	4.929	7.567	10.8	832.2	4983.0	0.00252	1.002
beta2_common[85]	4.403	0.004291	0.5775	0.5725	3.347	4.381	5.614	18150.0	25020.0	0.05494	1.0
beta2_common[86]	5.095	0.02409	0.8721	0.8693	3.58	5.028	6.969	1320.0	5727.0	0.003996	1.002
beta2_common[87]	4.07	0.01389	0.9159	0.9216	2.403	4.031	5.971	4229.0	13190.0	0.0128	1.0
beta2_common[88]	3.478	0.008066	1.302	1.156	1.558	3.271	6.592	26090.0	28480.0	0.079	1.0
beta2_common[89]	5.683	0.01425	0.7566	0.7452	4.31	5.64	7.292	2816.0	11170.0	0.008527	1.001
beta2_common[90]	7.689	0.01177	0.9141	0.9094	5.96	7.664	9.558	5925.0	13230.0	0.01794	1.0
beta2_common[91]	2.819	0.008089	0.8725	0.8129	1.513	2.672	4.866	11510.0	27030.0	0.03485	1.0
beta2_common[92]	2.977	0.01478	0.5823	0.569	1.982	2.921	4.249	1606.0	5167.0	0.004864	1.001
beta2_common[93]	3.855	0.009634	0.6308	0.5953	2.795	3.796	5.27	4594.0	10910.0	0.01391	1.001
beta2_common[94]	2.335	0.01682	0.6274	0.6183	1.334	2.256	3.743	1394.0	7363.0	0.00422	1.002
beta2_common[95]	3.898	0.002871	0.5039	0.4979	2.971	3.875	4.955	31200.0	27580.0	0.09448	1.0
beta2_common[96]	6.5	0.03334	1.072	1.092	4.613	6.436	8.753	1034.0	5638.0	0.003132	1.002
beta2_common[97]	6.643	0.0458	1.364	1.452	4.295	6.572	9.441	895.3	4777.0	0.002711	1.003
beta2_common[98]	3.254	0.01645	0.5975	0.5755	2.252	3.192	4.606	1355.0	5008.0	0.004104	1.002
beta2_common[99]	4.735	0.01565	0.9703	0.8618	3.23	4.608	7.026	3925.0	10550.0	0.01188	1.001
beta2_common[100]	4.298	0.01271	0.6135	0.6079	3.188	4.264	5.589	2359.0	8418.0	0.007143	1.001
beta2_common[101]	5.145	0.01411	0.7221	0.7051	3.845	5.104	6.674	2639.0	9274.0	0.007991	1.001
beta2_common[102]	4.033	0.03198	0.9867	1.018	2.387	3.934	6.135	966.3	5061.0	0.002926	1.002
beta2_common[103]	4.856	0.03146	1.143	0.9858	3.214	4.645	7.662	1259.0	5713.0	0.003812	1.002
beta2_common[104]	7.613	0.006673	0.9893	0.9743	5.818	7.562	9.709	21210.0	24170.0	0.06421	1.0
beta2_common[105]	2.483	0.003068	0.3771	0.3706	1.802	2.462	3.286	15700.0	22130.0	0.04754	1.0
beta2_common[106]	6.372	0.01444	0.8259	0.8164	4.854	6.327	8.099	3267.0	11890.0	0.009892	1.001
beta2_common[107]	5.165	0.02409	0.7963	0.8005	3.744	5.117	6.831	1100.0	5545.0	0.003331	1.002
beta2_common[108]	6.517	0.007617	0.7765	0.7667	5.07	6.488	8.123	10510.0	21540.0	0.03182	1.0
beta2_common[109]	3.392	0.01748	0.6538	0.6389	2.264	3.335	4.827	1440.0	5011.0	0.004359	1.001
beta2_common[110]	6.206	0.003132	0.6876	0.68	4.936	6.178	7.627	47680.0	29420.0	0.1443	1.0
beta2_common[111]	4.092	0.009427	1.049	1.012	2.3	4.017	6.366	9907.0	14480.0	0.03	1.0
beta2_common[112]	6.203	0.01808	0.9106	0.8767	4.574	6.144	8.169	2498.0	10390.0	0.007565	1.001
beta2_common[113]	3.844	0.01596	0.676	0.6748	2.611	3.812	5.256	1798.0	7470.0	0.005443	1.001
beta2_common[114]	8.554	0.01256	1.013	0.9993	6.692	8.508	10.67	6478.0	18300.0	0.01961	1.0
beta2_common[115]	12.14	0.01951	2.769	2.565	7.861	11.78	18.67	20340.0	26560.0	0.06159	1.0
beta2_common[116]	5.806	0.01713	0.7749	0.7659	4.393	5.773	7.427	2043.0	8714.0	0.006184	1.001
beta2_common[117]	4.823	0.01744	0.6886	0.6754	3.606	4.77	6.305	1558.0	7086.0	0.004718	1.002
beta2_common[118]	4.277	0.007047	0.5848	0.5778	3.206	4.251	5.499	7121.0	14110.0	0.02156	1.0
beta2_common[119]	5.327	0.004132	0.7795	0.767	3.947	5.277	7.005	40300.0	28820.0	0.122	1.0
beta2_common[120]	3.64	0.005247	0.6145	0.6137	2.522	3.609	4.918	13560.0	25570.0	0.04107	1.0
beta2_common[121]	4.019	0.006197	0.6019	0.5972	2.912	3.993	5.276	9738.0	20590.0	0.02948	1.0
beta2_common[122]	6.166	0.01368	0.7727	0.7663	4.729	6.139	7.766	3172.0	11430.0	0.009603	1.001
beta2_common[123]	9.99	0.03865	1.399	1.388	7.262	10.01	12.74	1318.0	4213.0	0.003992	1.001
beta2_common[124]	6.558	0.004151	0.8426	0.8256	5.038	6.51	8.343	40570.0	28220.0	0.1228	1.0
beta2_common[125]	6.595	0.01107	0.8522	0.8386	5.063	6.547	8.407	5908.0	21140.0	0.01789	1.0
