	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
beta2_common[107]	3.973	0.01082	0.5601	0.5442	2.989	3.929	5.197	2702.0	9719.0	0.01338	1.002
beta2_common[108]	5.669	0.005399	0.8933	0.8558	4.163	5.588	7.654	29590.0	27920.0	0.1465	1.0
beta2_common[109]	4.274	0.01053	1.249	1.087	2.474	4.061	7.306	11060.0	19430.0	0.05473	1.0
beta2_common[110]	5.16	0.003048	0.6353	0.6231	4.025	5.121	6.507	44260.0	30540.0	0.2191	1.0
beta2_common[111]	5.285	0.0102	1.868	1.606	2.65	4.958	9.843	34440.0	28370.0	0.1705	1.0
beta2_common[112]	4.238	0.007675	0.5616	0.5375	3.253	4.194	5.466	5538.0	12780.0	0.02741	1.001
beta2_common[113]	2.961	0.008081	0.5729	0.5408	2.016	2.901	4.261	4932.0	16220.0	0.02442	1.001
beta2_common[114]	7.195	0.005009	0.9434	0.9038	5.551	7.125	9.271	35440.0	31380.0	0.1754	1.0
beta2_common[115]	9.188	0.01276	2.142	1.954	5.924	8.889	14.27	30180.0	26760.0	0.1494	1.0
beta2_common[116]	5.102	0.008376	0.668	0.66	3.902	5.062	6.523	6274.0	17960.0	0.03106	1.0
beta2_common[117]	4.279	0.007357	0.6119	0.5954	3.205	4.238	5.611	6904.0	18670.0	0.03417	1.001
beta2_common[118]	3.536	0.00528	0.4688	0.4551	2.709	3.505	4.551	8234.0	16480.0	0.04076	1.001
beta2_common[119]	4.284	0.002854	0.5956	0.5729	3.238	4.24	5.597	44870.0	29160.0	0.2221	1.0
beta2_common[120]	6.203	0.01081	1.801	1.629	3.534	5.919	10.48	29110.0	30370.0	0.1441	1.0
beta2_common[121]	5.362	0.01204	1.5	1.321	3.192	5.111	8.97	13560.0	25220.0	0.06712	1.0
beta2_common[122]	5.41	0.009108	0.7438	0.7164	4.114	5.355	7.028	6661.0	17900.0	0.03297	1.001
beta2_common[123]	7.107	0.009787	1.019	0.9418	5.427	6.993	9.399	10810.0	23130.0	0.05353	1.001
